group,type,sampleID,PFHxA_peakArea,PFHxA_RT,13C2PFHxA_peakArea,13C2PFHxA_RT,PFHpA_peakArea,PFHpA_RT,PFOA_peakArea,PFOA_RT,13C4PFOA_peakArea,13C4PFOA_RT,PFNA_peakArea,PFNA_RT,13C5PFNA_peakArea,13C5PFNA_RT,PFDA_peakArea,PFDA_RT,13C2PFDA_peakArea,13C2PFDA_RT,PFHxS_peakArea,PFHxS_RT,13C4PFHxS_peakArea,13C4PFHxS_RT,PFOS_peakArea,PFOS_RT,13C4PFOS_peakArea,13C4PFOS_RT
water,unknown,NIA Water Sample #1,5.71E+04,3.55,2.99E+04,3.55,2.12E+04,3.72,3.02E+04,3.88,5.17E+04,3.89,8.72E+03,4.04,6.27E+04,4.03,4.31E+03,4.22,5.76E+04,4.17,4.44E+03,3.71,1.86E+03,3.7,4.55E+03,4.04,1.89E+03,4.03
water,unknown,NIA Water Sample #2,8.56E+04,3.55,2.46E+04,3.55,4.67E+04,3.71,7.38E+04,3.88,4.86E+04,3.88,4.62E+04,4.03,5.29E+04,4.03,3.17E+04,4.2,4.81E+04,4.19,7.63E+03,3.74,1.82E+03,3.74,5.44E+03,4.05,1.70E+03,4.03
water,unknown,NIA Water Sample #3,5.22E+04,3.55,2.53E+04,3.56,2.09E+04,3.71,2.74E+04,3.87,4.51E+04,3.89,6.14E+03,4.07,5.77E+04,4.04,2.25E+03,4.19,4.81E+04,4.19,4.60E+03,3.69,1.64E+03,3.69,4.62E+03,4.02,2.07E+03,4.02
D,unknown,Grp D NIA Sediment Sample #1 (Replicate 1),5.81E+03,3.56,1.27E+04,3.59,2.83E+03,3.7,6.78E+03,3.88,2.90E+04,3.87,4.34E+03,4.03,3.15E+04,4.03,1.38E+03,4.2,2.89E+04,4.18,3.72E+02,3.69,1.07E+03,3.7,4.12E+03,4.03,6.37E+02,4.02
D,unknown,Grp D NIA Sediment Sample #1 (Replicate 2),3.09E+03,3.55,8.61E+03,3.56,0.00E+00,0,4.73E+03,3.87,1.94E+04,3.87,1.94E+03,4.03,2.22E+04,4.04,1.40E+03,4.19,2.18E+04,4.18,5.89E+02,3.72,7.88E+02,3.71,3.87E+03,4.03,1.02E+03,4.03
D,unknown,Grp D NIA Sediment Sample #1 (Replicate 3),2.40E+03,3.57,7.48E+03,3.56,1.17E+03,3.7,4.54E+03,3.89,1.67E+04,3.87,1.78E+03,4.03,1.94E+04,4.03,1.37E+03,4.18,1.69E+04,4.17,0.00E+00,0,4.85E+02,3.72,3.40E+03,4.01,1.05E+03,4.02
D,unknown,Grp D NIA Sand Spike #1,6.63E+03,3.62,1.43E+03,3.6,4.72E+04,3.71,7.30E+04,3.88,1.35E+04,3.87,6.21E+04,4.04,1.58E+04,4.03,7.81E+04,4.19,1.62E+04,4.18,1.98E+03,3.74,3.87E+02,3.78,1.41E+03,4.04,5.51E+02,4.02
D,unknown,Grp D NIA Sediment Lab Blank #1,1.85E+02,3.58,2.59E+03,3.55,0.00E+00,0,9.78E+02,3.87,1.68E+04,3.88,6.93E+02,4.05,1.86E+04,4.03,7.49E+02,4.26,2.17E+04,4.17,0.00E+00,0,5.28E+02,3.69,1.75E+02,4.03,7.95E+02,4.05
D,unknown,Grp D NIA Sediment Field Blank #1,6.64E+02,3.63,2.37E+03,3.58,2.88E+03,3.71,1.67E+04,3.89,1.76E+04,3.88,5.57E+03,4.03,2.08E+04,4.03,1.60E+04,4.19,2.20E+04,4.16,0.00E+00,0,4.02E+02,3.72,0.00E+00,0,6.43E+02,4
E,unknown,Grp E NIA Sediment Sample #2 (Replicate 1),2.69E+03,3.56,5.92E+03,3.58,7.88E+02,3.72,5.93E+03,3.89,2.04E+04,3.87,2.37E+03,4.02,2.12E+04,4.01,1.21E+03,4.19,2.07E+04,4.16,1.77E+03,3.82,2.72E+02,3.69,2.60E+03,4.03,7.16E+02,4.06
