File generated on // Fichier créé sur,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, NO2 // NO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb // ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
NO2,10102,St Johns,NL,47.56038,-52.71147,20180418,5,6,4,6,8,8,15,16,14,14,14,11,12,11,12,21,30,39,43,6,2,2,2,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180419,1,1,1,1,1,2,3,5,3,2,2,2,3,2,2,2,3,4,3,1,1,1,3,4
NO2,10102,St Johns,NL,47.56038,-52.71147,20180420,4,3,2,2,6,23,24,20,22,22,19,33,27,19,17,28,24,23,2,2,2,1,1,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180421,1,1,2,1,1,1,2,2,2,3,3,1,2,2,2,1,2,2,2,3,3,3,4,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180422,2,1,2,2,1,2,2,1,0,1,2,0,0,0,0,0,1,3,36,24,10,3,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180423,1,2,2,1,1,5,2,1,1,1,0,2,2,2,2,4,3,3,3,4,6,3,3,5
NO2,10102,St Johns,NL,47.56038,-52.71147,20180424,5,5,5,5,5,7,13,4,3,3,3,3,3,3,2,4,4,4,3,4,6,4,4,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180425,3,2,2,2,3,5,7,11,6,5,6,5,3,4,4,4,4,4,4,3,3,2,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180426,2,1,2,2,3,3,9,4,4,3,3,4,4,3,5,5,4,3,3,2,3,2,5,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180427,1,1,1,1,1,2,2,5,5,6,5,1,2,1,1,2,2,1,1,2,2,1,1,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180428,3,2,23,15,3,3,7,25,38,19,9,1,1,2,1,1,1,1,1,0,0,1,0,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180429,0,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180430,0,0,1,1,1,1,1,3,3,1,2,3,6,12,7,12,20,21,8,12,16,22,14,19
NO2,10102,St Johns,NL,47.56038,-52.71147,20180501,18,21,22,23,21,21,20,21,26,32,31,33,31,35,29,37,38,38,28,26,36,18,3,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180502,3,2,2,2,2,3,5,5,4,4,3,2,2,2,2,3,2,2,2,2,2,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180503,1,1,1,1,19,32,31,7,6,7,6,5,6,5,5,4,5,4,2,2,3,2,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180504,3,2,3,2,6,21,18,22,18,27,27,27,18,24,29,38,24,16,15,11,14,11,7,6
NO2,10102,St Johns,NL,47.56038,-52.71147,20180505,6,7,15,11,4,5,8,16,8,10,5,3,4,3,2,1,1,0,0,0,0,1,0,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180506,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,2,2,1,2,2,4
NO2,10102,St Johns,NL,47.56038,-52.71147,20180507,1,1,2,2,2,2,6,18,16,9,-999,-999,-999,-999,3,2,1,3,2,1,2,2,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180508,2,3,2,4,4,7,5,3,2,2,6,2,6,7,5,9,6,2,2,3,2,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180509,1,1,0,1,1,2,3,4,3,3,2,6,5,3,1,1,3,3,14,12,11,15,10,12
NO2,10102,St Johns,NL,47.56038,-52.71147,20180510,11,18,12,10,15,17,31,29,18,17,6,4,6,7,6,5,4,4,3,4,4,3,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180511,2,2,1,2,2,2,3,3,3,4,3,1,2,2,1,2,1,1,2,2,3,1,2,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180512,1,1,1,1,1,1,2,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180513,1,1,2,2,2,1,1,1,0,0,0,1,1,1,1,1,2,1,3,1,2,3,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180514,2,2,3,3,3,6,9,5,5,4,5,2,2,1,1,3,3,4,2,1,1,0,0,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180515,11,10,3,16,24,15,7,4,3,2,3,1,2,7,3,2,1,2,0,1,1,0,0,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180516,1,0,1,0,0,0,4,3,2,1,5,3,13,18,19,7,3,5,4,2,1,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180517,2,2,3,3,0,1,5,1,3,1,3,2,2,3,2,2,2,2,1,2,2,2,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180518,2,1,2,2,3,2,2,2,2,2,2,1,0,1,4,4,3,0,0,0,1,1,1,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180519,2,3,1,0,2,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180520,1,1,1,1,1,1,1,1,0,1,0,1,3,2,1,1,0,0,0,0,0,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180521,1,0,1,0,1,0,1,1,1,1,1,0,4,8,8,7,8,3,2,3,13,24,5,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180522,1,1,1,1,2,3,1,1,3,7,12,2,11,16,19,21,11,9,1,0,2,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180523,1,1,1,1,0,1,2,2,2,1,1,1,1,2,3,2,5,3,5,30,28,17,16,14
NO2,10102,St Johns,NL,47.56038,-52.71147,20180524,17,18,29,16,25,6,10,5,5,2,8,1,3,3,1,1,1,0,1,10,1,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180525,1,1,1,1,1,2,2,2,5,8,7,7,7,7,3,6,5,4,3,3,3,3,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180526,1,3,3,1,1,3,7,9,4,6,2,2,1,2,2,2,6,6,7,9,10,6,3,6
NO2,10102,St Johns,NL,47.56038,-52.71147,20180527,3,3,2,2,1,1,0,1,1,1,1,1,1,2,2,2,2,15,18,22,27,22,14,13
NO2,10102,St Johns,NL,47.56038,-52.71147,20180528,5,11,19,17,17,12,15,42,38,38,13,13,15,14,8,13,9,4,4,6,4,2,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180529,2,2,2,2,3,4,5,7,3,6,8,7,7,3,4,5,11,18,19,18,21,26,37,42
NO2,10102,St Johns,NL,47.56038,-52.71147,20180530,31,32,40,27,19,16,16,16,22,38,35,32,22,9,11,4,1,4,3,1,1,1,0,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180531,1,1,1,1,0,1,5,4,13,11,4,6,3,3,6,6,8,10,2,3,3,2,4,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180601,2,4,6,4,6,4,8,11,9,16,11,10,8,9,31,9,9,13,14,18,3,12,15,10
NO2,10102,St Johns,NL,47.56038,-52.71147,20180602,6,11,10,5,13,15,23,21,14,25,25,22,23,18,49,49,36,43,34,31,27,26,27,28
NO2,10102,St Johns,NL,47.56038,-52.71147,20180603,23,6,2,2,2,1,1,2,1,1,1,1,1,4,8,0,0,1,1,1,0,1,0,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180604,0,0,0,0,0,0,2,3,2,1,1,2,3,3,6,3,3,9,8,5,6,5,4,4
NO2,10102,St Johns,NL,47.56038,-52.71147,20180605,3,3,2,2,3,4,7,4,7,3,1,10,20,22,6,5,4,8,1,5,3,1,3,19
NO2,10102,St Johns,NL,47.56038,-52.71147,20180606,8,6,5,6,6,7,21,22,25,24,27,10,4,5,3,4,2,7,2,2,2,2,1,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180607,3,2,2,4,3,2,5,13,14,11,9,8,6,7,7,8,7,12,19,18,13,6,5,5
