Congener,Sludge1_undiluted,Sludge2_undiluted,Sludge3_undiluted,Sludge4_undiluted,Sludge5_undiluted,Sludge6_undiluted,Sludge7_undiluted,Sludge8_undiluted,Sludge9_undiluted,Sludge10_undiluted,Sludge11_undiluted,Sludge12_undiluted,Sludge13_undiluted,Sludge14_undiluted,Sludge15_undiluted,Sludge16_undiluted,Sludge17_undiluted,Sludge18_undiluted,Sludge19_undiluted,Sludge20_undiluted,Sludge21_undiluted,Sludge22_undiluted,Sludge23_undiluted,Sludge24_undiluted,Sludge25_undiluted
C16H26Cl8,9.940141182,28.86332497,0,0,0,0,0,0,0,134.1002073,153.7457006,157.4484177,54.18691182,120.8773669,0,0,69.54279031,0,0,21.37456122,35.00567023,28.015253,0,0,112.5177538
C16H27Cl7,27.14272805,109.1469923,6.195679346,126.9884402,0,0,9.526281865,0,0,118.2698575,181.9523447,250.9314184,44.06588627,106.5971987,1.957187004,9.144195245,155.8229583,44.66634725,28.949961,106.4062833,103.8524981,109.6024918,1.711086034,0,83.3921325
C16H28Cl6,14.29442008,39.46271732,4.421171621,99.62887639,0,1.486831205,0,0,0,12.36223187,76.24683823,82.39851671,3.467988348,11.96099577,1.075444327,0,100.2978925,7.884569309,3.055226512,27.33723116,70.40862097,87.27914719,2.697613798,0,7.20381681
C16H29Cl5,0,8.354433882,0,49.62045941,0,0,0,0,0,0,0,0,0,0,0,0,50.72492933,1.190175232,0,0,10.76415125,7.153404107,0,0,0
C17H19Cl17,0,9.878767471,0,0,0,0,0,25.91667998,8.528047312,0,0,0,0,0,0,0,5.786302606,0,0,0,0,0,7.666317127,28.7510817,0
C17H20Cl16,0,0,0,0,0,0,0,16.84697278,0,4.732997864,12.07316465,0,0,0,0,0,0,1.761191201,0,0,0,5.145893733,117.7962876,88.2601054,0
C17H21Cl15,0,0,0,0,0,10.79453288,0,4.594132102,0,0,10.38118927,0,0,0,0,0,0,0,0,0,45.30251389,33.39924708,0,0,0
C17H22Cl14,10.5513957,0,0,0,0,0,0,0,0,0,0,0,5.359693071,0,0,0,0,8.762396121,0,0,0,0,0,0,7.257321818
C17H23Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17H24Cl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17H25Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.917923706,0
C17H26Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,5.675548531,0,0,0,0,0,0,0,0,0,2.605542059,0
C17H27Cl9,0,177.6106859,123.9335393,0,13.74936746,0,0,0,57.96624588,0,0,0,0,205.3659125,0,97.65771154,0,85.98441607,0,0,0,0,0,0,0
C17H28Cl8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17H29Cl7,0,1.673526391,0,28.11326504,0,0,0,0,0,12.52672939,40.36956096,66.1916121,10.2820288,14.78849238,0,2.273797236,46.82843904,4.807256166,4.888882683,17.96305883,35.94898668,44.94436796,0,0,15.9152537
C17H30Cl6,0,8.990718852,0,36.45311253,6.950686356,0,0,0,0,0,15.23078683,5.016944609,0,0,0,0,44.08162019,4.045556431,0,3.971588208,20.37626251,26.17753247,0,0,0
C17H31Cl5,0,0,0,0,0,0,0,0,0,0,4.465222271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C18H20Cl18,0,0,0,0,0,0,0,8.366734902,10.73302705,0,0,0,0,2.599900505,0,0,0,0,0,5.088988913,0,0,99.04055602,122.1057062,0
C18H21Cl17,0,0,6.030910531,0,156.4685075,0,0,116.9868898,162.4540229,0,9.439863714,0,0,0,0,0,0,0,4.50366009,0,0,0,38.73472553,20.45306993,0
C18H22Cl16,0,0,5.691618342,0,40.34110742,5.559860245,6.633880262,78.37992526,241.0463918,0,0,0,6.658921156,0,4.720707151,0,0,0,4.132118622,0,0,0,33.79775886,23.3956232,0
C18H23Cl15,6.143545423,0,5.539525923,17.48797102,3.602123753,7.256408015,0,0,0.450369145,0,0,0,0,11.02825735,10.73212324,4.995790906,0,2.936526703,0,6.812107598,0,8.992106937,1.846040304,0,0
C18H24Cl14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.861398053,18.57244929,9.409828801,4.822251229,11.95151878,1.58934581,0,4.654064655,3.88844,1.225495492,8.651140381,1.461330831
C18H25Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C18H26Cl12,0,0,0,0,4.085819882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C18H27Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.911913538,0,0,0,0
C18H28Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
