"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 16:00:00,"O3",26
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 16:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 16:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 17:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 17:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 17:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 18:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 18:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 18:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 19:00:00,"O3",27
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 19:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 19:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 20:00:00,"O3",29
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 20:00:00,"NO2",8
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 20:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 21:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 21:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 21:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 22:00:00,"O3",29
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 22:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 22:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 23:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 23:00:00,"NO2",10
60430,"Toronto","ON",43.709444,-79.5435,2018-01-04 23:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 00:00:00,"O3",30
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 00:00:00,"NO2",7
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 00:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 01:00:00,"O3",27
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 01:00:00,"NO2",9
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 01:00:00,"SO2",3
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 02:00:00,"O3",28
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 02:00:00,"NO2",7
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 02:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 03:00:00,"O3",25
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 03:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 03:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 04:00:00,"O3",21
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 04:00:00,"NO2",15
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 04:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 05:00:00,"O3",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 05:00:00,"NO2",18
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 05:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 06:00:00,"O3",16
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 06:00:00,"NO2",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 06:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 07:00:00,"O3",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 07:00:00,"NO2",27
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 07:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 08:00:00,"O3",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 08:00:00,"NO2",17
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 08:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 09:00:00,"O3",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 09:00:00,"NO2",19
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 09:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 10:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 10:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 10:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 11:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 11:00:00,"NO2",11
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 11:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 12:00:00,"O3",24
60430,"Toronto","ON",43.709444,-79.5435,2018-01-05 12:00:00,"NO2",13
