"wavenumber","sample","absorbance"
602.1638,"Polyethylene",0.001814776
602.1638,"Sample: Shopping bag",0.02820664
602.6459,"EPDM",0.2586256
602.6459,"Polystyrene",0.07906443
602.6459,"Polyethylene",0.001850065
602.6459,"Sample: Shopping bag",0.02828672
603.128,"EPDM",0.2588811
603.128,"Polystyrene",0.0790812
603.128,"Polyethylene",0.001874748
603.128,"Sample: Shopping bag",0.02835319
603.6101,"EPDM",0.2591051
603.6101,"Polystyrene",0.07906428
603.6101,"Polyethylene",0.001890991
603.6101,"Sample: Shopping bag",0.02841028
604.0922,"EPDM",0.2592679
604.0922,"Polystyrene",0.0790112
604.0922,"Polyethylene",0.001903761
604.0922,"Sample: Shopping bag",0.02846204
604.5743,"EPDM",0.2593555
604.5743,"Polystyrene",0.07892559
604.5743,"Polyethylene",0.001918606
604.5743,"Sample: Shopping bag",0.02851158
605.0565,"EPDM",0.2593766
605.0565,"Polystyrene",0.07881736
605.0565,"Polyethylene",0.00193892
605.0565,"Sample: Shopping bag",0.02856134
605.5386,"EPDM",0.2593585
605.5386,"Polystyrene",0.07870011
605.5386,"Polyethylene",0.001964191
605.5386,"Sample: Shopping bag",0.02861482
606.0207,"EPDM",0.259336
606.0207,"Polystyrene",0.07858622
606.0207,"Polyethylene",0.001990254
606.0207,"Sample: Shopping bag",0.02867582
606.5028,"EPDM",0.2593376
606.5028,"Polystyrene",0.07848351
606.5028,"Polyethylene",0.002009893
606.5028,"Sample: Shopping bag",0.02874845
606.9849,"EPDM",0.2593756
606.9849,"Polystyrene",0.07839272
606.9849,"Polyethylene",0.002015589
606.9849,"Sample: Shopping bag",0.02883322
607.467,"EPDM",0.2594433
607.467,"Polystyrene",0.07830714
607.467,"Polyethylene",0.002001558
607.467,"Sample: Shopping bag",0.02892563
607.9492,"EPDM",0.259523
607.9492,"Polystyrene",0.07821746
607.9492,"Polyethylene",0.00196571
607.9492,"Sample: Shopping bag",0.02901504
608.4313,"EPDM",0.2595974
608.4313,"Polystyrene",0.07811676
608.4313,"Polyethylene",0.001909968
608.4313,"Sample: Shopping bag",0.02908928
608.9134,"EPDM",0.2596589
608.9134,"Polystyrene",0.07800462
608.9134,"Polyethylene",0.001839591
608.9134,"Sample: Shopping bag",0.02913878
609.3955,"EPDM",0.2597121
609.3955,"Polystyrene",0.07788912
609.3955,"Polyethylene",0.001763299
609.3955,"Sample: Shopping bag",0.02916214
609.8776,"EPDM",0.2597697
609.8776,"Polystyrene",0.07778484
609.8776,"Polyethylene",0.00169028
609.8776,"Sample: Shopping bag",0.02916846
610.3597,"EPDM",0.2598434
610.3597,"Polystyrene",0.07770757
610.3597,"Polyethylene",0.001629899
610.3597,"Sample: Shopping bag",0.02917492
610.8419,"EPDM",0.2599376
610.8419,"Polystyrene",0.07766835
610.8419,"Polyethylene",0.00159029
610.8419,"Sample: Shopping bag",0.02919934
611.324,"EPDM",0.2600456
611.324,"Polystyrene",0.07766816
611.324,"Polyethylene",0.001576373
611.324,"Sample: Shopping bag",0.02925278
611.8061,"EPDM",0.2601528
611.8061,"Polystyrene",0.07769728
611.8061,"Polyethylene",0.001589263
611.8061,"Sample: Shopping bag",0.0293336
612.2882,"EPDM",0.2602439
612.2882,"Polystyrene",0.07773838
612.2882,"Polyethylene",0.001625991
612.2882,"Sample: Shopping bag",0.02942783
612.7703,"EPDM",0.260307
612.7703,"Polystyrene",0.07777303
612.7703,"Polyethylene",0.001680078
612.7703,"Sample: Shopping bag",0.02951478
613.2524,"EPDM",0.2603352
613.2524,"Polystyrene",0.07778941
613.2524,"Polyethylene",0.001743532
613.2524,"Sample: Shopping bag",0.02957665
613.7346,"EPDM",0.260325
613.7346,"Polystyrene",0.07778705
613.7346,"Polyethylene",0.001808614
613.7346,"Sample: Shopping bag",0.02960609
614.2167,"EPDM",0.2602745
614.2167,"Polystyrene",0.07777894
614.2167,"Polyethylene",0.001870378
614.2167,"Sample: Shopping bag",0.02961074
614.6988,"EPDM",0.2601846
614.6988,"Polystyrene",0.07778721
614.6988,"Polyethylene",0.001927791
614.6988,"Sample: Shopping bag",0.02960929
615.1809,"EPDM",0.2600632
615.1809,"Polystyrene",0.0778354
615.1809,"Polyethylene",0.001982458
615.1809,"Sample: Shopping bag",0.02962364
615.663,"EPDM",0.2599311
615.663,"Polystyrene",0.07794012
615.663,"Polyethylene",0.002037901
615.663,"Sample: Shopping bag",0.02966874
616.1451,"EPDM",0.2598244
616.1451,"Polystyrene",0.07810327
616.1451,"Polyethylene",0.002096276
616.1451,"Sample: Shopping bag",0.02974613
616.6273,"EPDM",0.2597909
616.6273,"Polystyrene",0.07831118
616.6273,"Polyethylene",0.002156813
616.6273,"Sample: Shopping bag",0.02984425
617.1094,"EPDM",0.2598763
617.1094,"Polystyrene",0.07853612
617.1094,"Polyethylene",0.002215381
617.1094,"Sample: Shopping bag",0.02994234
617.5915,"EPDM",0.2601075
617.5915,"Polystyrene",0.07874535
617.5915,"Polyethylene",0.002265443
617.5915,"Sample: Shopping bag",0.03001936
618.0736,"EPDM",0.2604826
618.0736,"Polystyrene",0.07891034
618.0736,"Polyethylene",0.002299365
618.0736,"Sample: Shopping bag",0.03006176
618.5557,"EPDM",0.2609675
618.5557,"Polystyrene",0.07901549
618.5557,"Polyethylene",0.002311779
618.5557,"Sample: Shopping bag",0.0300664
619.0378,"EPDM",0.2615085
619.0378,"Polystyrene",0.07906315
619.0378,"Polyethylene",0.00229935
619.0378,"Sample: Shopping bag",0.03004066
619.52,"EPDM",0.2620526
619.52,"Polystyrene",0.07907214
619.52,"Polyethylene",0.002261918
619.52,"Sample: Shopping bag",0.02999691
620.0021,"EPDM",0.2625669
620.0021,"Polystyrene",0.07907272
620.0021,"Polyethylene",0.002201875
620.0021,"Sample: Shopping bag",0.02994908
620.4842,"EPDM",0.2630489
620.4842,"Polystyrene",0.07909655
620.4842,"Polyethylene",0.002123114
620.4842,"Sample: Shopping bag",0.02990846
620.9663,"EPDM",0.263522
620.9663,"Polystyrene",0.07916941
620.9663,"Polyethylene",0.002031569
620.9663,"Sample: Shopping bag",0.02988384
621.4484,"EPDM",0.2640208
621.4484,"Polystyrene",0.07930402
621.4484,"Polyethylene",0.001935255
621.4484,"Sample: Shopping bag",0.02988042
621.9305,"EPDM",0.2645739
621.9305,"Polystyrene",0.07949957
621.9305,"Polyethylene",0.00184444
621.9305,"Sample: Shopping bag",0.02990291
622.4127,"EPDM",0.2651891
622.4127,"Polystyrene",0.07974414
622.4127,"Polyethylene",0.00177142
622.4127,"Sample: Shopping bag",0.02995268
622.8948,"EPDM",0.2658529
622.8948,"Polystyrene",0.08002026
622.8948,"Polyethylene",0.001728248
622.8948,"Sample: Shopping bag",0.03002774
623.3769,"EPDM",0.2665373
623.3769,"Polystyrene",0.08031094
623.3769,"Polyethylene",0.001723944
623.3769,"Sample: Shopping bag",0.03012071
623.859,"EPDM",0.2672158
623.859,"Polystyrene",0.08060358
623.859,"Polyethylene",0.001761691
623.859,"Sample: Shopping bag",0.0302204
624.3411,"EPDM",0.2678729
624.3411,"Polystyrene",0.08089009
624.3411,"Polyethylene",0.001836324
624.3411,"Sample: Shopping bag",0.03031273
624.8232,"EPDM",0.2685083
624.8232,"Polystyrene",0.08116773
624.8232,"Polyethylene",0.001935781
624.8232,"Sample: Shopping bag",0.03038655
625.3054,"EPDM",0.2691305
625.3054,"Polystyrene",0.08143651
625.3054,"Polyethylene",0.002042993
625.3054,"Sample: Shopping bag",0.03043611
625.7875,"EPDM",0.2697484
625.7875,"Polystyrene",0.08170006
625.7875,"Polyethylene",0.002141005
625.7875,"Sample: Shopping bag",0.03046343
626.2696,"EPDM",0.2703612
626.2696,"Polystyrene",0.08196708
626.2696,"Polyethylene",0.002217356
626.2696,"Sample: Shopping bag",0.03047672
626.7517,"EPDM",0.2709599
626.7517,"Polystyrene",0.08225287
626.7517,"Polyethylene",0.002266564
626.7517,"Sample: Shopping bag",0.03048688
627.2338,"EPDM",0.2715299
627.2338,"Polystyrene",0.08258005
627.2338,"Polyethylene",0.002290894
627.2338,"Sample: Shopping bag",0.03050276
627.7159,"EPDM",0.272063
627.7159,"Polystyrene",0.08297495
627.7159,"Polyethylene",0.002298156
627.7159,"Sample: Shopping bag",0.03052908
628.1981,"EPDM",0.2725613
628.1981,"Polystyrene",0.0834605
628.1981,"Polyethylene",0.002297949
628.1981,"Sample: Shopping bag",0.03056612
628.6802,"EPDM",0.2730368
628.6802,"Polystyrene",0.08404539
628.6802,"Polyethylene",0.00229879
628.6802,"Sample: Shopping bag",0.03061119
629.1623,"EPDM",0.2735037
629.1623,"Polystyrene",0.08471473
629.1623,"Polyethylene",0.002305384
629.1623,"Sample: Shopping bag",0.03066188
629.6444,"EPDM",0.2739695
629.6444,"Polystyrene",0.08542541
629.6444,"Polyethylene",0.002318353
629.6444,"Sample: Shopping bag",0.03071822
630.1265,"EPDM",0.2744287
630.1265,"Polystyrene",0.08610858
630.1265,"Polyethylene",0.002335632
630.1265,"Sample: Shopping bag",0.03078169
630.6086,"EPDM",0.2748649
630.6086,"Polystyrene",0.08668074
630.6086,"Polyethylene",0.002353213
630.6086,"Sample: Shopping bag",0.03085414
631.0908,"EPDM",0.2752579
631.0908,"Polystyrene",0.08706249
631.0908,"Polyethylene",0.002367389
631.0908,"Sample: Shopping bag",0.03093502
631.5729,"EPDM",0.2755957
631.5729,"Polystyrene",0.08719672
631.5729,"Polyethylene",0.00237535
631.5729,"Sample: Shopping bag",0.03102137
632.055,"EPDM",0.2758811
632.055,"Polystyrene",0.08706365
632.055,"Polyethylene",0.002375669
632.055,"Sample: Shopping bag",0.03110791
632.5371,"EPDM",0.2761306
632.5371,"Polystyrene",0.08668482
632.5371,"Polyethylene",0.002368622
632.5371,"Sample: Shopping bag",0.03119007
633.0192,"EPDM",0.2763685
633.0192,"Polystyrene",0.08611815
633.0192,"Polyethylene",0.002356833
633.0192,"Sample: Shopping bag",0.03126537
633.5013,"EPDM",0.2766168
633.5013,"Polystyrene",0.08544283
633.5013,"Polyethylene",0.002344901
633.5013,"Sample: Shopping bag",0.03133518
633.9835,"EPDM",0.2768866
633.9835,"Polystyrene",0.08474165
633.9835,"Polyethylene",0.002340185
633.9835,"Sample: Shopping bag",0.03140248
634.4656,"EPDM",0.277178
634.4656,"Polystyrene",0.08408476
634.4656,"Polyethylene",0.002350726
634.4656,"Sample: Shopping bag",0.03146951
634.9477,"EPDM",0.2774849
634.9477,"Polystyrene",0.08352061
634.9477,"Polyethylene",0.002383381
634.9477,"Sample: Shopping bag",0.03153481
635.4298,"EPDM",0.2778026
635.4298,"Polystyrene",0.08307355
635.4298,"Polyethylene",0.002441369
635.4298,"Sample: Shopping bag",0.03159387
635.9119,"EPDM",0.2781326
635.9119,"Polystyrene",0.0827475
635.9119,"Polyethylene",0.002522088
635.9119,"Sample: Shopping bag",0.03164027
636.394,"EPDM",0.2784822
636.394,"Polystyrene",0.08253268
636.394,"Polyethylene",0.002616492
