Congener,Samples,Values
C19H30Cl10,Sludge2_undiluted,0
C19H31Cl9,Sludge2_undiluted,0
C19H32Cl8,Sludge2_undiluted,0
C19H33Cl7,Sludge2_undiluted,0
C19H34Cl6,Sludge2_undiluted,0
C19H35Cl5,Sludge2_undiluted,0
C20H22Cl20,Sludge2_undiluted,0
C20H23Cl19,Sludge2_undiluted,0
C20H24Cl18,Sludge2_undiluted,0
C20H25Cl17,Sludge2_undiluted,0
C20H26Cl16,Sludge2_undiluted,0
C20H27Cl15,Sludge2_undiluted,0
C20H28Cl14,Sludge2_undiluted,0
C20H29Cl13,Sludge2_undiluted,0
C20H30Cl12,Sludge2_undiluted,0
C20H31Cl11,Sludge2_undiluted,0
C20H32Cl10,Sludge2_undiluted,0
C20H33Cl9,Sludge2_undiluted,0
C20H34Cl8,Sludge2_undiluted,0
C20H35Cl7,Sludge2_undiluted,0
C20H36Cl6,Sludge2_undiluted,0
C20H37Cl5,Sludge2_undiluted,10.04696637
