casrn,congener_number,name,category
33091-17-7,197,"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",Congener
68194-17-2,198,"2,2',3,3',4,5,5',6-Octachlorobiphenyl",Congener
52663-75-9,199,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",Congener
52663-73-7,200,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",Congener
40186-71-8,201,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",Congener
2136-99-4,202,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",Congener
52663-76-0,203,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",Congener
74472-52-9,204,"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",Congener
74472-53-0,205,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",Congener
40186-72-9,206,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",Congener
52663-79-3,207,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",Congener
52663-77-1,208,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",Congener
2051-24-3,209,Decachlorobiphenyl,Congener
