Date Time, Monitor ID, Location ID, O3(ppm)
25 Jul 2020 13:24,2,1,0.000
25 Jul 2020 13:25,2,1,0.000
25 Jul 2020 13:26,2,1,0.000
25 Jul 2020 13:27,2,1,0.000
25 Jul 2020 13:28,2,1,0.000
25 Jul 2020 13:29,2,1,0.000
25 Jul 2020 13:30,2,1,0.000
25 Jul 2020 13:31,2,1,0.000
25 Jul 2020 13:32,2,1,0.000
25 Jul 2020 13:33,2,1,0.000
25 Jul 2020 13:34,2,1,0.000
25 Jul 2020 13:35,2,1,0.000
25 Jul 2020 13:36,2,1,0.000
25 Jul 2020 13:37,2,1,0.000
25 Jul 2020 13:38,2,1,0.000
25 Jul 2020 13:39,2,1,0.000
25 Jul 2020 13:40,2,1,0.000
25 Jul 2020 13:41,2,1,0.000
25 Jul 2020 13:42,2,1,0.000
25 Jul 2020 13:43,2,1,0.000
25 Jul 2020 13:44,2,1,0.000
25 Jul 2020 13:45,2,1,0.000
25 Jul 2020 13:46,2,1,0.000
25 Jul 2020 13:47,2,1,0.000
25 Jul 2020 13:48,2,1,0.000
25 Jul 2020 13:49,2,1,0.000
25 Jul 2020 13:50,2,1,0.000
25 Jul 2020 13:51,2,1,0.000
25 Jul 2020 13:52,2,1,0.000
25 Jul 2020 13:53,2,1,0.000
25 Jul 2020 13:54,2,1,0.000
25 Jul 2020 13:55,2,1,0.000
25 Jul 2020 13:56,2,1,0.000
25 Jul 2020 13:57,2,1,0.000
25 Jul 2020 13:58,2,1,0.000
25 Jul 2020 13:59,2,1,0.000
25 Jul 2020 14:00,2,1,0.000
25 Jul 2020 14:01,2,1,0.000
25 Jul 2020 14:02,2,1,0.000
25 Jul 2020 14:03,2,1,0.000
25 Jul 2020 14:04,2,1,0.000
25 Jul 2020 14:05,2,1,0.000
27 Jul 2020 09:07,2,1,0.000
