sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM1,AirBeam2:001896105519,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2019-09-19T12:12:26.517-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:12:27.530-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:12:28.522-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:12:29.507-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:12:30.490-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:12:31.517-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:12:32.521-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:12:33.521-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:12:34.519-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:12:35.519-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:12:36.497-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:37.504-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:38.506-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:12:39.521-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:12:40.522-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:41.519-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:42.514-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:43.521-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:44.524-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:45.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:46.524-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:47.508-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:48.515-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:49.526-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:50.499-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:51.524-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:52.524-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:53.516-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:54.517-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:55.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:56.532-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:12:57.516-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:12:58.519-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:12:59.522-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:00.533-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:01.509-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:02.491-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:03.527-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:04.532-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:05.522-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:06.530-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:07.525-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:08.583-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:09.518-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:10.512-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:11.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:12.533-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:13.527-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:14.521-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:15.531-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:16.525-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:17.534-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:18.528-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:19.520-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:20.523-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:21.523-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:22.527-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:23.520-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:24.522-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:25.522-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:26.520-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:27.509-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:28.512-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:29.518-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:30.520-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:31.517-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:32.531-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:33.503-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:34.500-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:35.533-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:36.528-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:13:37.512-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:38.527-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:39.523-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:40.492-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:41.531-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:42.507-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:43.524-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:13:44.538-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:13:45.523-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:13:46.497-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:13:47.527-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:13:48.513-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:49.530-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:50.527-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:51.522-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:52.519-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:53.501-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:54.516-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:55.519-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:56.521-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:57.525-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:58.511-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:13:59.500-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:00.508-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:01.525-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:02.521-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:03.533-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:04.523-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:05.505-0400,43.6665177,-79.3981142,2.0
