Wavelength (nm),0.001 M SDS,0.0016 M SDS,0.004 M SDS,0.0048 M SDS,0.0056 M SDS,0.0064 M SDS,0.0072 M SDS,0.008 M SDS,0.012 M SDS
631,0.64,0.648,0.048,0.29,0.589,1.111,1.083,5.51,7.622
631.5,0.586,0.862,0.228,0.099,0.539,1.292,2.294,4.076,6.568
632,0.387,1.045,0.489,0.066,1.116,2.471,2.318,4.272,4.695
632.5,2.478,1.459,0.396,0,1.064,0.909,1.187,4.096,6.107
633,0.879,1.846,0.626,0.12,0.737,0.27,2.04,5.43,4.239
633.5,0.483,1.157,0.602,0.337,1.316,1.168,1.055,3.411,4.385
634,0.962,0.625,0.303,0.319,1.312,0.336,1.058,5.177,2.604
634.5,1.313,0.718,1.412,0,0.883,0.689999,1.688,3.403,2.29
635,1.551,1.77,2.103,0.108,0.994,0.801,0.687999,1.807,5.479
635.5,1.225,1.777,-0.134,0.093,0.34,0.422,0.216,4.004,5.785
636,0.769,1.359,0.179,0.884,0.933,0.322,0.356,3.032,3.652
636.5,0.692999,0.939999,1.241,-0.556,1.283,0.492,1.45,3.018,4.468
637,0.074,0.152,0.627,0,0.152,0.08,2.046,4.71,4.417
637.5,1.682,0.163,1.932,0.308,0,0.762,0.626,2.601,3.107
638,1.582,0.158,0.301,0,0.645,2.476,0.384,3.219,1.467
638.5,2.546,0.538,-0.082,0.523,1.518,0.861,0.070999,2.544,3.352
639,0.451,0,0.717,0.157,1.91,0.163,1.039,4.01,1.839
639.5,0.948,0,1.036,0.534,0.149,0,0.225,2.154,3.808
640,1.12,1.273,0.555,0.521,0.831,0.687999,0.565999,2.322,1.571
640.5,0.534,0.771,0.063,0.67,-0.464,0.612,0.13,2.06,2.127
641,0.292,0.915,-0.002,0.554,-0.908,0.433,-0.163,3.252,1.193
641.5,0.393,0.382,1.225,0.833,0.789,-0.188,-0.306,3.543,2.357
642,-0.49,1.432,0.983,0.404,0,0.315,1.469,1.196,2.482
642.5,-3.871,-0.262,1.228,0.446,0.124,0.362,0.591,0.89,2.914
643,1.262,0.75,2.476,0.134,0.631,0.439,0.821,1.995,1.811
643.5,0.171,0.678,0.64,0.139,0.645,0.503,0.473,2.804,1.49
644,0.194,0.207,0.57,-0.24,0.993,0.387,0.595,2.473,2.152
644.5,0.778,0.771,0.226,0.168,0.991,0.388,0.114,3.461,2.555
645,0.769,0.62,0.458,0.535,0.646,0.089,0.064,1.633,1.435
645.5,0.176,0.575,0.531,1.004,1.082,0.738,0.364,3.412,1.209
646,0.526,0.582,0.201,0.715,1.033,0.805,0.944,4.598,2.117
646.5,0.119,0.117,0,0.115,1.441,0.456,0.237,2.562,1.701
647,1.18,0.455,0.188,1.002,0.629,0.247,0.16,2.042,2.212
647.5,3.007,0.871,-0.219,1.22,0.134,-0.258,0.147,0.455,1.198
648,1.602,0.838,0.344,1.366,0.314,-0.161,-0.281,0.55,1.426
648.5,0.533,0.392,0.382,0.548,0.757,0.444,-0.164,0.155,0.646
649,0.198,1.124,-0.196,-0.01,0.698,0.71,0,0.383,1.078
649.5,0.563999,0.799,0.264,0.308,1.303,0.391,0.812,1.086,1.699
650,1.14,0.077,0.069,0,0,0.138,0.845,-0.389,1.083
650.5,1.295,-0.051,-0.911,-0.765,-3.028,0.123,-0.001,-2.869,0.383
