wavenumber,EPDM,Neoprene,Mylar,PTFE,PVC,Polystyrene,Polyethylene,Sample: eyeglass bag,Sample: Gloves (KC500),Sample: Shopping bag
949.2877,0.4327416,0.4242842,0.09929625,0.007077063,0.06777633,0.122432,0.003602981,0.02844505,0.06785987,0.01719092
949.7699,0.4342119,0.4253318,0.1006093,0.007084982,0.0693443,0.1238884,0.003588411,0.02848116,0.06906594,0.01725199
950.252,0.4356642,0.4264575,0.1019498,0.0070946,0.07094523,0.1254008,0.003561719,0.02852284,0.07037646,0.01732007
950.7341,0.4371228,0.4276532,0.1033224,0.007106083,0.07257082,0.1269718,0.003538912,0.02856995,0.0718011,0.01739079
951.2162,0.4386138,0.4289113,0.1047359,0.007119434,0.07421149,0.1286048,0.003534368,0.02862112,0.07335045,0.01745938
951.6984,0.4401617,0.4302267,0.1062023,0.007134592,0.07585587,0.1303027,0.003556612,0.028675,0.07503633,0.01752307
952.1804,0.4417871,0.4315981,0.1077335,0.007150725,0.0774908,0.1320678,0.003604669,0.02873034,0.07687235,0.01758162
952.6626,0.4435032,0.4330287,0.1093399,0.007167866,0.07910112,0.1339014,0.003668965,0.02878688,0.07887392,0.01763805
953.1447,0.4453161,0.4345258,0.1110286,0.007185825,0.08066909,0.1358046,0.003734387,0.02884489,0.08105819,0.01769595
953.6268,0.4472242,0.4360996,0.1128037,0.007204412,0.08217528,0.137778,0.003785657,0.02890448,0.08344273,0.0177579
954.1089,0.4492216,0.4377612,0.1146679,0.007223334,0.08360002,0.1398238,0.003811892,0.02896499,0.08604479,0.01782371
954.5911,0.4513004,0.4395208,0.1166228,0.007241563,0.08492493,0.1419456,0.003809764,0.02902471,0.08888049,0.0178903
955.0731,0.4534546,0.4413856,0.1186713,0.007258554,0.08613534,0.1441491,0.003783765,0.02908156,0.09196489,0.01795337
955.5553,0.4556789,0.4433565,0.1208168,0.007273527,0.08722159,0.1464408,0.003744285,0.02913332,0.09531085,0.01800977
956.0374,0.4579709,0.445429,0.1230638,0.007286673,0.0881802,0.148827,0.003703233,0.02917887,0.09892955,0.01805939
956.5195,0.460328,0.4475932,0.1254168,0.007298671,0.08901288,0.1513132,0.003671069,0.02921841,0.1028285,0.0181057
957.0016,0.4627459,0.4498352,0.1278793,0.007310255,0.08972533,0.1539034,0.003653084,0.0292526,0.1070093,0.01815378
957.4838,0.4652201,0.4521413,0.1304552,0.007321787,0.09032597,0.1565994,0.003649204,0.02928249,0.111466,0.01820854
957.9658,0.4677441,0.4544984,0.1331473,0.007333159,0.09082413,0.159402,0.003655119,0.02930874,0.1161813,0.01827272
958.448,0.4703127,0.4568969,0.1359591,0.007343445,0.09122947,0.1623107,0.003665177,0.02933146,0.1211255,0.0183458
958.9301,0.4729216,0.4593277,0.1388936,0.007351537,0.09155127,0.1653235,0.00367502,0.02935106,0.1262547,0.0184248
959.4122,0.4755684,0.4617805,0.141953,0.007357077,0.09179889,0.1684365,0.003683107,0.02936861,0.1315116,0.01850667
959.8943,0.4782535,0.4642426,0.1451387,0.007360579,0.09198181,0.171644,0.003691491,0.02938702,0.1368266,0.01858972
960.3765,0.4809767,0.4666968,0.1484496,0.007363726,0.09210896,0.1749373,0.003703288,0.02941022,0.1421193,0.01867433
960.8585,0.4837374,0.4691227,0.1518831,0.007368394,0.09218827,0.1783048,0.003720945,0.02944192,0.1473015,0.01876179
961.3407,0.4865347,0.4715008,0.1554351,0.007375919,0.09222605,0.1817341,0.003744443,0.02948494,0.1522801,0.01885324
961.8228,0.4893666,0.4738146,0.1591004,0.007386331,0.0922255,0.185211,0.003769892,0.02953936,0.1569608,0.01894759
962.3049,0.4922334,0.4760559,0.1628742,0.007398375,0.09218752,0.1887217,0.003791217,0.02960283,0.161254,0.01904194
962.787,0.4951364,0.4782238,0.16675,0.007409615,0.0921096,0.192252,0.003802481,0.02967106,0.1650785,0.01913226
963.2692,0.4980806,0.4803237,0.1707195,0.007418458,0.09198755,0.1957871,0.003800737,0.02974005,0.1683677,0.01921581
963.7512,0.5010719,0.4823635,0.17477,0.007424478,0.09181652,0.1993095,0.003787547,0.02980722,0.1710729,0.01929277
